
Label=ph(v(Vout)) vs F
LabelX=F
LabelY=ph(v(Vout))
Data Point Count=1001
F,F,F,ph(v(Vout)),ph(v(Vout))
 3.8725764492162034E+002, 3.8725764492162034E+002, 0.0000000000000000E+000, 1.7933317590176912E+002, 0.0000000000000000E+000
 3.9264493539960307E+002, 3.9264493539960307E+002, 0.0000000000000000E+000, 1.7932390026655199E+002, 0.0000000000000000E+000
 3.9810717055350057E+002, 3.9810717055350057E+002, 0.0000000000000000E+000, 1.7931449562875474E+002, 0.0000000000000000E+000
 4.0364539296760836E+002, 4.0364539296760836E+002, 0.0000000000000000E+000, 1.7930496019522641E+002, 0.0000000000000000E+000
 4.0926065973001431E+002, 4.0926065973001431E+002, 0.0000000000000000E+000, 1.7929529214793240E+002, 0.0000000000000000E+000
 4.1495404263436649E+002, 4.1495404263436649E+002, 0.0000000000000000E+000, 1.7928548964361082E+002, 0.0000000000000000E+000
 4.2072662838444774E+002, 4.2072662838444774E+002, 0.0000000000000000E+000, 1.7927555081342410E+002, 0.0000000000000000E+000
 4.2657951880159641E+002, 4.2657951880159641E+002, 0.0000000000000000E+000, 1.7926547376260646E+002, 0.0000000000000000E+000
 4.3251383103501252E+002, 4.3251383103501252E+002, 0.0000000000000000E+000, 1.7925525657010567E+002, 0.0000000000000000E+000
 4.3853069777498962E+002, 4.3853069777498962E+002, 0.0000000000000000E+000, 1.7924489728822073E+002, 0.0000000000000000E+000
